player_id,first_name,last_name,flag_code,birth_year,birth_month,birth_day,turned_pro,weight_kg,height_cm,handedness,backhand
r757,Amador,Romero-Torres,ESP,1986,1,22,,,,,
r758,Sebastian,Rieschick,GER,1986,2,15,,,,,
r762,Rupesh,Roy,IND,1989,2,16,,,,,
r771,Mohcine,Roudami,MAR,1986,5,4,,,,,
r775,Artur,Romanowski,POL,1987,1,29,,,,,
r772,Albert,Ramos-Vinolas,ESP,1988,1,17,2007,80,188,Left-Handed,Two-Handed Backhand
r782,Julian,Reister,GER,1986,4,2,2005,87,188,Right-Handed,One-Handed Backhand
r776,Martin,Rmus,SLO,1987,3,14,,,,,
r790,Valery,Rudnev,RUS,1988,2,16,,,,,
r804,Pato,Rodriquez,,,,,,,,,
r805,Sebastian,Rivera,CHI,1986,9,18,,77,178,Left-Handed,One-Handed Backhand
r814,Guillermo,Rivera-Aranguiz,CHI,1989,2,2,,,,Right-Handed,Two-Handed Backhand
r822,Laurent,Rochette,FRA,1988,2,5,2006,79,183,,
r823,Purav,Raja,IND,1985,12,7,2005,90,183,Right-Handed,Two-Handed Backhand
r843,Vitor,Requiao,BRA,1988,6,25,,,,,
r835,Cesar,Ramirez,MEX,1990,1,25,,,,,
r844,Eladio,Ribeiro Neto,BRA,1986,1,9,,86,191,,
r847,Younes,Rachidi,MAR,1986,9,13,,,,,
r851,Mathieu,Rodrigues,FRA,1985,11,7,2007,76,180,Right-Handed,Two-Handed Backhand
r853,Nima,Roshan,AUS,1985,5,24,,,,,
r852,Clement,Reix,FRA,1983,10,9,,,,,
r862,Christopher,Rungkat,INA,1990,1,14,2007,68,175,Right-Handed,Two-Handed Backhand
r882,Georgi,Rumenov Payakov,ESP,1989,12,15,,,,,
r883,Robin,Roshardt,SUI,1988,2,22,,,,,
r895,Florian,Reynet,FRA,1986,4,14,,,,,
r923,David,Rice,GBR,1989,1,1,,90,193,Right-Handed,Two-Handed Backhand
r927,Vitali,Reshetnikov,RUS,1988,11,4,,,,,
r931,Patrik,Rosenholm,SWE,1988,3,5,,85,178,Right-Handed,One-Handed Backhand
r960,Fernando,Romboli,BRA,1989,1,4,2006,81,180,Right-Handed,One-Handed Backhand
r934,Nicolas,Reissig,AUT,1989,4,7,2009,84,185,Right-Handed,One-Handed Backhand
r975,Milos,Raonic,CAN,1990,12,27,2008,98,196,Right-Handed,Two-Handed Backhand
r977,Matt,Reid,AUS,1990,7,17,,,,,
r982,Filip,Rams,POL,1989,6,13,,,,,
r984,Igor,Rud,RUS,1988,5,16,,,,,
ra15,Elie,Rousset,FRA,1989,9,5,,88,198,,
r996,Marc,Rath,AUT,1990,12,5,,,,,
ra17,Guillaume,Rufin,FRA,1990,5,26,2008,82,188,Right-Handed,Two-Handed Backhand
ra21,Jonathan,Ribaste,USA,1988,12,5,,,,,
ra36,Ahmad,Rabeea,KUW,,,,,,,,
ra24,Ruan,Roelofse,RSA,1989,11,18,,98,188,Right-Handed,Two-Handed Backhand
ra38,Marcel,Ruzic,CRO,1992,1,20,,,,,
ra46,Mohammed,Reda,KUW,1994,4,22,,,,,
ra51,Blaz,Rola,SLO,1990,10,5,2013,85,193,Left-Handed,Two-Handed Backhand
